Match ID,Date,Event,Winner,Loser,Title Match
6,16-04-2023,SummerSlam,Bobby Lashley,Randy Orton,No
7,23-04-2023,Survivor Series,Charlotte Flair,Naomi,Yes
8,30-04-2023,Extreme Rules,Becky Lynch,Asuka,No
9,07-05-2023,Hell in a Cell,Sasha Banks,Bayley,Yes
10,14-05-2023,Fastlane,Bayley,Sasha Banks,No
11,21-05-2023,Royal Rumble,Asuka,Shayna Baszler,Yes
12,28-05-2023,Elimination Chamber,Shayna Baszler,Liv Morgan,No
13,04-06-2023,WrestleMania,Nia Jax,Nia Jax,Yes
14,11-06-2023,Backlash,Rhea Ripley,Rhea Ripley,No
15,18-06-2023,Money in the Bank,Liv Morgan,Becky Lynch,Yes
16,25-06-2023,SummerSlam,Naomi,Charlotte Flair,No
17,02-07-2023,Survivor Series,Finn Balor,Ricochet,Yes
18,09-07-2023,Extreme Rules,Kofi Kingston,Xavier Woods,No
19,16-07-2023,Hell in a Cell,Big E,Big E,Yes
20,23-07-2023,Fastlane,Xavier Woods,Kofi Kingston,No
21,30-07-2023,Royal Rumble,Ricochet,Finn Balor,Yes
22,06-08-2023,Elimination Chamber,Aleister Black,Velveteen Dream,No
23,13-08-2023,WrestleMania,Tommaso Ciampa,Johnny Gargano,Yes
24,20-08-2023,Backlash,Johnny Gargano,Tommaso Ciampa,No
25,27-08-2023,Money in the Bank,Adam Cole,Aleister Black,Yes
26,03-09-2023,SummerSlam,Velveteen Dream,Adam Cole,No
27,10-09-2023,Survivor Series,Keith Lee,Roderick Strong,Yes
28,17-09-2023,Extreme Rules,Damian Priest,Dexter Lumis,No
29,24-09-2023,Hell in a Cell,Dexter Lumis,Bronson Reed,Yes
30,01-10-2023,Fastlane,Bronson Reed,Damian Priest,No
31,08-10-2023,Royal Rumble,Roderick Strong,Keith Lee,Yes
32,15-10-2023,Elimination Chamber,Kyle O'Reilly,Gunther,No
33,22-10-2023,WrestleMania,Pete Dunne,Walter,Yes
34,29-10-2023,Backlash,Ilja Dragunov,Ilja Dragunov,No
35,05-11-2023,Money in the Bank,Walter,Pete Dunne,Yes
36,01-01-2023,Royal Rumble,Gunther,Kyle O'Reilly,Yes
37,08-01-2023,Elimination Chamber,Jinder Mahal,Shelton Benjamin,No
38,15-01-2023,WrestleMania,R-Truth,Cedric Alexander,Yes
39,22-01-2023,Backlash,Titus O'Neil,Titus O'Neil,No
40,29-01-2023,Money in the Bank,Cedric Alexander,R-Truth,Yes
41,05-02-2023,SummerSlam,Shelton Benjamin,Jinder Mahal,No
42,12-02-2023,Survivor Series,The Miz,Elias,Yes
43,19-02-2023,Extreme Rules,Morrison,Matt Hardy,No
44,26-02-2023,Hell in a Cell,Jeff Hardy,Jeff Hardy,Yes
45,05-03-2023,Fastlane,John Cena,AJ Styles,No
46,12-03-2023,Royal Rumble,Roman Reigns,Seth Rollins,Yes
47,19-03-2023,Elimination Chamber,Brock Lesnar,Roman Reigns,No
48,26-03-2023,WrestleMania,Seth Rollins,Brock Lesnar,Yes
49,02-04-2023,Backlash,Randy Orton,John Cena,No
50,09-04-2023,Money in the Bank,AJ Styles,Bobby Lashley,Yes
1,16-04-2023,SummerSlam,Edge,Kevin Owens,No
2,23-04-2023,Survivor Series,Drew McIntyre,Drew McIntyre,Yes
3,30-04-2023,Extreme Rules,Kevin Owens,Edge,No
4,07-05-2023,Hell in a Cell,Bobby Lashley,Randy Orton,Yes
5,14-05-2023,Fastlane,Charlotte Flair,Naomi,No
6,21-05-2023,Royal Rumble,Becky Lynch,Asuka,Yes
7,28-05-2023,Elimination Chamber,Sasha Banks,Bayley,No
8,04-06-2023,WrestleMania,Bayley,Sasha Banks,Yes
9,11-06-2023,Backlash,Asuka,Shayna Baszler,No
10,18-06-2023,Money in the Bank,Shayna Baszler,Liv Morgan,Yes
11,25-06-2023,SummerSlam,Nia Jax,Nia Jax,No
12,02-07-2023,Survivor Series,Rhea Ripley,Rhea Ripley,Yes
13,09-07-2023,Extreme Rules,Liv Morgan,Becky Lynch,No
14,16-07-2023,Hell in a Cell,Naomi,Charlotte Flair,Yes
15,23-07-2023,Fastlane,Finn Balor,Ricochet,No
16,30-07-2023,Royal Rumble,Kofi Kingston,Xavier Woods,Yes
17,06-08-2023,Elimination Chamber,Big E,Big E,No
18,13-08-2023,WrestleMania,Xavier Woods,Kofi Kingston,Yes
19,20-08-2023,Backlash,Ricochet,Finn Balor,No
20,27-08-2023,Money in the Bank,Aleister Black,Velveteen Dream,Yes
21,03-09-2023,SummerSlam,Tommaso Ciampa,Johnny Gargano,No
22,10-09-2023,Survivor Series,Johnny Gargano,Tommaso Ciampa,Yes
23,17-09-2023,Extreme Rules,Adam Cole,Aleister Black,No
24,24-09-2023,Hell in a Cell,Velveteen Dream,Adam Cole,Yes
25,01-10-2023,Fastlane,Keith Lee,Roderick Strong,No
26,08-10-2023,Royal Rumble,Damian Priest,Dexter Lumis,Yes
27,15-10-2023,Elimination Chamber,Dexter Lumis,Bronson Reed,No
28,22-10-2023,WrestleMania,Bronson Reed,Damian Priest,Yes
29,29-10-2023,Backlash,Roderick Strong,Keith Lee,No
30,05-11-2023,Money in the Bank,Kyle O'Reilly,Gunther,Yes
31,01-01-2023,Royal Rumble,Pete Dunne,Walter,Yes
32,08-01-2023,Elimination Chamber,Ilja Dragunov,Ilja Dragunov,No
33,15-01-2023,WrestleMania,Walter,Pete Dunne,Yes
34,22-01-2023,Backlash,Gunther,Kyle O'Reilly,No
35,29-01-2023,Money in the Bank,Jinder Mahal,Shelton Benjamin,Yes
36,05-02-2023,SummerSlam,R-Truth,Cedric Alexander,No
37,12-02-2023,Survivor Series,Titus O'Neil,Titus O'Neil,Yes
38,19-02-2023,Extreme Rules,Cedric Alexander,R-Truth,No
39,26-02-2023,Hell in a Cell,Shelton Benjamin,Jinder Mahal,Yes
40,05-03-2023,Fastlane,The Miz,Elias,No
41,12-03-2023,Royal Rumble,Morrison,Matt Hardy,Yes
42,19-03-2023,Elimination Chamber,Jeff Hardy,Jeff Hardy,No
43,26-03-2023,WrestleMania,John Cena,AJ Styles,Yes
44,02-04-2023,Backlash,Roman Reigns,Seth Rollins,No
45,09-04-2023,Money in the Bank,Brock Lesnar,Roman Reigns,Yes
46,16-04-2023,SummerSlam,Seth Rollins,Brock Lesnar,No
47,23-04-2023,Survivor Series,Randy Orton,John Cena,Yes
48,30-04-2023,Extreme Rules,AJ Styles,Bobby Lashley,No
49,07-05-2023,Hell in a Cell,Edge,Kevin Owens,Yes
50,14-05-2023,Fastlane,Drew McIntyre,Drew McIntyre,No
1,21-05-2023,Royal Rumble,Kevin Owens,Edge,Yes
2,28-05-2023,Elimination Chamber,Bobby Lashley,Randy Orton,No
3,04-06-2023,WrestleMania,Charlotte Flair,Naomi,Yes
4,11-06-2023,Backlash,Becky Lynch,Asuka,No
5,18-06-2023,Money in the Bank,Sasha Banks,Bayley,Yes
6,25-06-2023,SummerSlam,Bayley,Sasha Banks,No
7,02-07-2023,Survivor Series,Asuka,Shayna Baszler,Yes
8,09-07-2023,Extreme Rules,Shayna Baszler,Liv Morgan,No
9,16-07-2023,Hell in a Cell,Nia Jax,Nia Jax,Yes
10,23-07-2023,Fastlane,Rhea Ripley,Rhea Ripley,No
11,30-07-2023,Royal Rumble,Liv Morgan,Becky Lynch,Yes
12,06-08-2023,Elimination Chamber,Naomi,Charlotte Flair,No
13,13-08-2023,WrestleMania,Finn Balor,Ricochet,Yes
14,20-08-2023,Backlash,Kofi Kingston,Xavier Woods,No
15,27-08-2023,Money in the Bank,Big E,Big E,Yes
16,03-09-2023,SummerSlam,Xavier Woods,Kofi Kingston,No
17,10-09-2023,Survivor Series,Ricochet,Finn Balor,Yes
18,17-09-2023,Extreme Rules,Aleister Black,Velveteen Dream,No
19,24-09-2023,Hell in a Cell,Tommaso Ciampa,Johnny Gargano,Yes
20,01-10-2023,Fastlane,Johnny Gargano,Tommaso Ciampa,No
21,08-10-2023,Royal Rumble,Adam Cole,Aleister Black,Yes
22,15-10-2023,Elimination Chamber,Velveteen Dream,Adam Cole,No
23,22-10-2023,WrestleMania,Keith Lee,Roderick Strong,Yes
24,29-10-2023,Backlash,Damian Priest,Dexter Lumis,No
25,05-11-2023,Money in the Bank,Dexter Lumis,Bronson Reed,Yes
26,01-01-2023,Royal Rumble,Bronson Reed,Damian Priest,Yes
27,08-01-2023,Elimination Chamber,Roderick Strong,Keith Lee,No
28,15-01-2023,WrestleMania,Kyle O'Reilly,Gunther,Yes
29,22-01-2023,Backlash,Pete Dunne,Walter,No
30,29-01-2023,Money in the Bank,Ilja Dragunov,Ilja Dragunov,Yes
31,05-02-2023,SummerSlam,Walter,Pete Dunne,No
32,12-02-2023,Survivor Series,Gunther,Kyle O'Reilly,Yes
33,19-02-2023,Extreme Rules,Jinder Mahal,Shelton Benjamin,No
34,26-02-2023,Hell in a Cell,R-Truth,Cedric Alexander,Yes
35,05-03-2023,Fastlane,Titus O'Neil,Titus O'Neil,No
36,12-03-2023,Royal Rumble,Cedric Alexander,R-Truth,Yes
37,19-03-2023,Elimination Chamber,Shelton Benjamin,Jinder Mahal,No
38,26-03-2023,WrestleMania,The Miz,Elias,Yes
39,02-04-2023,Backlash,Morrison,Matt Hardy,No
40,09-04-2023,Money in the Bank,Jeff Hardy,Jeff Hardy,Yes
41,16-04-2023,SummerSlam,John Cena,AJ Styles,No
42,23-04-2023,Survivor Series,Roman Reigns,Seth Rollins,Yes
43,30-04-2023,Extreme Rules,Brock Lesnar,Roman Reigns,No
44,07-05-2023,Hell in a Cell,Seth Rollins,Brock Lesnar,Yes
45,14-05-2023,Fastlane,Randy Orton,John Cena,No
46,21-05-2023,Royal Rumble,AJ Styles,Bobby Lashley,Yes
47,28-05-2023,Elimination Chamber,Edge,Kevin Owens,No
48,04-06-2023,WrestleMania,Drew McIntyre,Drew McIntyre,Yes
49,11-06-2023,Backlash,Kevin Owens,Edge,No
50,18-06-2023,Money in the Bank,Bobby Lashley,Randy Orton,Yes
1,25-06-2023,SummerSlam,Charlotte Flair,Naomi,No
2,02-07-2023,Survivor Series,Becky Lynch,Asuka,Yes
3,09-07-2023,Extreme Rules,Sasha Banks,Bayley,No
4,16-07-2023,Hell in a Cell,Bayley,Sasha Banks,Yes
5,23-07-2023,Fastlane,Asuka,Shayna Baszler,No
6,30-07-2023,Royal Rumble,Shayna Baszler,Liv Morgan,Yes
7,06-08-2023,Elimination Chamber,Nia Jax,Nia Jax,No
8,13-08-2023,WrestleMania,Rhea Ripley,Rhea Ripley,Yes
9,20-08-2023,Backlash,Liv Morgan,Becky Lynch,No
10,27-08-2023,Money in the Bank,Naomi,Charlotte Flair,Yes
11,03-09-2023,SummerSlam,Finn Balor,Ricochet,No
12,10-09-2023,Survivor Series,Kofi Kingston,Xavier Woods,Yes
13,17-09-2023,Extreme Rules,Big E,Big E,No
14,24-09-2023,Hell in a Cell,Xavier Woods,Kofi Kingston,Yes
15,01-10-2023,Fastlane,Ricochet,Finn Balor,No
16,08-10-2023,Royal Rumble,Aleister Black,Velveteen Dream,Yes
17,15-10-2023,Elimination Chamber,Tommaso Ciampa,Johnny Gargano,No
18,22-10-2023,WrestleMania,Johnny Gargano,Tommaso Ciampa,Yes
19,29-10-2023,Backlash,Adam Cole,Aleister Black,No
20,05-11-2023,Money in the Bank,Velveteen Dream,Adam Cole,Yes
21,01-01-2023,Royal Rumble,Keith Lee,Roderick Strong,Yes
22,08-01-2023,Elimination Chamber,Damian Priest,Dexter Lumis,No
23,15-01-2023,WrestleMania,Dexter Lumis,Bronson Reed,Yes
24,22-01-2023,Backlash,Bronson Reed,Damian Priest,No
25,29-01-2023,Money in the Bank,Roderick Strong,Keith Lee,Yes
26,05-02-2023,SummerSlam,Kyle O'Reilly,Gunther,No
27,12-02-2023,Survivor Series,Pete Dunne,Walter,Yes
28,19-02-2023,Extreme Rules,Ilja Dragunov,Ilja Dragunov,No
29,26-02-2023,Hell in a Cell,Walter,Pete Dunne,Yes
30,05-03-2023,Fastlane,Gunther,Kyle O'Reilly,No
31,12-03-2023,Royal Rumble,Jinder Mahal,Shelton Benjamin,Yes
32,19-03-2023,Elimination Chamber,R-Truth,Cedric Alexander,No
33,26-03-2023,WrestleMania,Titus O'Neil,Titus O'Neil,Yes
34,02-04-2023,Backlash,Cedric Alexander,R-Truth,No
35,09-04-2023,Money in the Bank,Shelton Benjamin,Jinder Mahal,Yes
36,16-04-2023,SummerSlam,The Miz,Elias,No
37,23-04-2023,Survivor Series,Morrison,Matt Hardy,Yes
38,30-04-2023,Extreme Rules,Jeff Hardy,Jeff Hardy,No
39,07-05-2023,Hell in a Cell,John Cena,AJ Styles,Yes
40,14-05-2023,Fastlane,Roman Reigns,Seth Rollins,No
41,21-05-2023,Royal Rumble,Brock Lesnar,Roman Reigns,Yes
42,28-05-2023,Elimination Chamber,Seth Rollins,Brock Lesnar,No
43,04-06-2023,WrestleMania,Randy Orton,John Cena,Yes
44,11-06-2023,Backlash,AJ Styles,Bobby Lashley,No
45,18-06-2023,Money in the Bank,Edge,Kevin Owens,Yes
46,25-06-2023,SummerSlam,Drew McIntyre,Drew McIntyre,No
47,02-07-2023,Survivor Series,Kevin Owens,Edge,Yes
48,09-07-2023,Extreme Rules,Bobby Lashley,Randy Orton,No
49,16-07-2023,Hell in a Cell,Charlotte Flair,Naomi,Yes
50,23-07-2023,Fastlane,Becky Lynch,Asuka,No
1,30-07-2023,Royal Rumble,Sasha Banks,Bayley,Yes
2,06-08-2023,Elimination Chamber,Bayley,Sasha Banks,No
3,13-08-2023,WrestleMania,Asuka,Shayna Baszler,Yes
4,20-08-2023,Backlash,Shayna Baszler,Liv Morgan,No
5,27-08-2023,Money in the Bank,Nia Jax,Nia Jax,Yes
6,03-09-2023,SummerSlam,Rhea Ripley,Rhea Ripley,No
7,10-09-2023,Survivor Series,Liv Morgan,Becky Lynch,Yes
8,17-09-2023,Extreme Rules,Naomi,Charlotte Flair,No
9,24-09-2023,Hell in a Cell,Finn Balor,Ricochet,Yes
10,01-10-2023,Fastlane,Kofi Kingston,Xavier Woods,No
11,08-10-2023,Royal Rumble,Big E,Big E,Yes
12,15-10-2023,Elimination Chamber,Xavier Woods,Kofi Kingston,No
13,22-10-2023,WrestleMania,Ricochet,Finn Balor,Yes
14,29-10-2023,Backlash,Aleister Black,Velveteen Dream,No
15,05-11-2023,Money in the Bank,Tommaso Ciampa,Johnny Gargano,Yes
16,01-01-2023,Royal Rumble,Johnny Gargano,Tommaso Ciampa,Yes
17,08-01-2023,Elimination Chamber,Adam Cole,Aleister Black,No
18,15-01-2023,WrestleMania,Velveteen Dream,Adam Cole,Yes
19,22-01-2023,Backlash,Keith Lee,Roderick Strong,No
20,29-01-2023,Money in the Bank,Damian Priest,Dexter Lumis,Yes
21,05-02-2023,SummerSlam,Dexter Lumis,Bronson Reed,No
22,12-02-2023,Survivor Series,Bronson Reed,Damian Priest,Yes
23,19-02-2023,Extreme Rules,Roderick Strong,Keith Lee,No
24,26-02-2023,Hell in a Cell,Kyle O'Reilly,Gunther,Yes
25,05-03-2023,Fastlane,Pete Dunne,Walter,No
26,12-03-2023,Royal Rumble,Ilja Dragunov,Ilja Dragunov,Yes
27,19-03-2023,Elimination Chamber,Walter,Pete Dunne,No
28,26-03-2023,WrestleMania,Gunther,Kyle O'Reilly,Yes
29,02-04-2023,Backlash,Jinder Mahal,Shelton Benjamin,No
30,09-04-2023,Money in the Bank,R-Truth,Cedric Alexander,Yes
31,16-04-2023,SummerSlam,Titus O'Neil,Titus O'Neil,No
32,23-04-2023,Survivor Series,Cedric Alexander,R-Truth,Yes
33,30-04-2023,Extreme Rules,Shelton Benjamin,Jinder Mahal,No
34,07-05-2023,Hell in a Cell,The Miz,Elias,Yes
35,14-05-2023,Fastlane,Morrison,Matt Hardy,No
36,21-05-2023,Royal Rumble,Jeff Hardy,Jeff Hardy,Yes
37,28-05-2023,Elimination Chamber,John Cena,AJ Styles,No
38,04-06-2023,WrestleMania,Roman Reigns,Seth Rollins,Yes
39,11-06-2023,Backlash,Brock Lesnar,Roman Reigns,No
40,18-06-2023,Money in the Bank,Seth Rollins,Brock Lesnar,Yes
41,25-06-2023,SummerSlam,Randy Orton,John Cena,No
42,02-07-2023,Survivor Series,AJ Styles,Bobby Lashley,Yes
43,09-07-2023,Extreme Rules,Edge,Kevin Owens,No
44,16-07-2023,Hell in a Cell,Drew McIntyre,Drew McIntyre,Yes
45,23-07-2023,Fastlane,Kevin Owens,Edge,No
46,30-07-2023,Royal Rumble,Bobby Lashley,Randy Orton,Yes
47,06-08-2023,Elimination Chamber,Charlotte Flair,Naomi,No
48,13-08-2023,WrestleMania,Becky Lynch,Asuka,Yes
49,20-08-2023,Backlash,Sasha Banks,Bayley,No
50,27-08-2023,Money in the Bank,Bayley,Sasha Banks,Yes
1,03-09-2023,SummerSlam,Asuka,Shayna Baszler,No
2,10-09-2023,Survivor Series,Shayna Baszler,Liv Morgan,Yes
3,17-09-2023,Extreme Rules,Nia Jax,Nia Jax,No
4,24-09-2023,Hell in a Cell,Rhea Ripley,Rhea Ripley,Yes
5,01-10-2023,Fastlane,Liv Morgan,Becky Lynch,No
6,08-10-2023,Royal Rumble,Naomi,Charlotte Flair,Yes
7,15-10-2023,Elimination Chamber,Finn Balor,Ricochet,No
8,22-10-2023,WrestleMania,Kofi Kingston,Xavier Woods,Yes
9,29-10-2023,Backlash,Big E,Big E,No
10,05-11-2023,Money in the Bank,Xavier Woods,Kofi Kingston,Yes
11,01-01-2023,Royal Rumble,Ricochet,Finn Balor,Yes
12,08-01-2023,Elimination Chamber,Aleister Black,Velveteen Dream,No
13,15-01-2023,WrestleMania,Tommaso Ciampa,Johnny Gargano,Yes
14,22-01-2023,Backlash,Johnny Gargano,Tommaso Ciampa,No
15,29-01-2023,Money in the Bank,Adam Cole,Aleister Black,Yes
16,05-02-2023,SummerSlam,Velveteen Dream,Adam Cole,No
17,12-02-2023,Survivor Series,Keith Lee,Roderick Strong,Yes
18,19-02-2023,Extreme Rules,Damian Priest,Dexter Lumis,No
19,26-02-2023,Hell in a Cell,Dexter Lumis,Bronson Reed,Yes
20,05-03-2023,Fastlane,Bronson Reed,Damian Priest,No
21,12-03-2023,Royal Rumble,Roderick Strong,Keith Lee,Yes
22,19-03-2023,Elimination Chamber,Kyle O'Reilly,Gunther,No
23,26-03-2023,WrestleMania,Pete Dunne,Walter,Yes
24,02-04-2023,Backlash,Ilja Dragunov,Ilja Dragunov,No
25,09-04-2023,Money in the Bank,Walter,Pete Dunne,Yes
26,16-04-2023,SummerSlam,Gunther,Kyle O'Reilly,No
27,23-04-2023,Survivor Series,Jinder Mahal,Shelton Benjamin,Yes
28,30-04-2023,Extreme Rules,R-Truth,Cedric Alexander,No
29,07-05-2023,Hell in a Cell,Titus O'Neil,Titus O'Neil,Yes
30,14-05-2023,Fastlane,Cedric Alexander,R-Truth,No
31,21-05-2023,Royal Rumble,Shelton Benjamin,Jinder Mahal,Yes
32,28-05-2023,Elimination Chamber,The Miz,Elias,No
33,04-06-2023,WrestleMania,Morrison,Matt Hardy,Yes
34,11-06-2023,Backlash,Jeff Hardy,Jeff Hardy,No
35,18-06-2023,Money in the Bank,John Cena,AJ Styles,Yes
36,25-06-2023,SummerSlam,Roman Reigns,Seth Rollins,No
37,02-07-2023,Survivor Series,Brock Lesnar,Roman Reigns,Yes
38,09-07-2023,Extreme Rules,Seth Rollins,Brock Lesnar,No
39,16-07-2023,Hell in a Cell,Randy Orton,John Cena,Yes
40,23-07-2023,Fastlane,AJ Styles,Bobby Lashley,No
41,30-07-2023,Royal Rumble,Edge,Kevin Owens,Yes
42,06-08-2023,Elimination Chamber,Drew McIntyre,Drew McIntyre,No
43,13-08-2023,WrestleMania,Kevin Owens,Edge,Yes
44,20-08-2023,Backlash,Bobby Lashley,Randy Orton,No
45,27-08-2023,Money in the Bank,Charlotte Flair,Naomi,Yes
46,03-09-2023,SummerSlam,Becky Lynch,Asuka,No
47,10-09-2023,Survivor Series,Sasha Banks,Bayley,Yes
48,17-09-2023,Extreme Rules,Bayley,Sasha Banks,No
49,24-09-2023,Hell in a Cell,Asuka,Shayna Baszler,Yes
50,01-10-2023,Fastlane,Shayna Baszler,Liv Morgan,No
1,08-10-2023,Royal Rumble,Nia Jax,Nia Jax,Yes
2,15-10-2023,Elimination Chamber,Rhea Ripley,Rhea Ripley,No
3,22-10-2023,WrestleMania,Liv Morgan,Becky Lynch,Yes
